,title,abstract,affiliations,authors,journal,date,keywords,url
49,Incomplete Recovery of Zebrafish Retina Following Cryoinjury,"Zebrafish show an extraordinary potential for regeneration in several organs from fins to central nervous system. Most impressively, the outcome of an injury results in a near perfect regeneration and a full functional recovery. Indeed, among the various injury paradigms previously tested in the field of zebrafish retina regeneration, a perfect layered structure is observed after one month of recovery in most of the reported cases. In this study, we applied cryoinjury to the zebrafish eye. We show that retina exposed to this treatment for one second undergoes an acute damage affecting all retinal cell types, followed by a phase of limited tissue remodeling and regrowth. Surprisingly, zebrafish developed a persistent retinal dysplasia observable through 300 days post-injury. There is no indication of fibrosis during the regeneration period, contrary to the regeneration process after cryoinjury to the zebrafish cardiac ventricle. RNA sequencing analysis of injured retinas at different time points has uncovered enriched processes and a number of potential candidate genes. By means of this simple, time and cost-effective technique, we propose a zebrafish injury model that displays a unique inability to completely recover following focal retinal damage; an outcome that is unreported to our knowledge. Furthermore, RNA sequencing proved to be useful in identifying pathways, which may play a crucial role not only in the regeneration of the retina, but in the first initial step of regeneration, degeneration. We propose that this model may prove useful in comparative and translational studies to examine critical pathways for successful regeneration.","['1 Institute for Research in Ophthalmology, 1950 Sion, Switzerland.', '2 Global Health Institute, School of Life Sciences, École Polytechnique Fédérale de Lausanne, 1015 Lausanne, Switzerland.', '3 Faculty of Biology and Medicine, University of Lausanne, 1015 Lausanne, Switzerland.']","Denisa Džulová, Dylan Lawless, Gaëtan G Pinton, Nicole A Renner, Daniel F Schorderet, ",Cells,2022,cryoinjury; regeneration; retina; zebrafish.,https://pubmed.ncbi.nlm.nih.gov/35456052
50,NeuroSEE: A Neuromorphic Energy-Efficient Processing Framework for Visual Prostheses,"Visual prostheses with both comprehensive visual signal processing capability and energy efficiency are becoming increasingly demanded in the age of intelligent personal healthcare, particularly with the rise of wearable and implantable devices. To address this trend, we propose NeuroSEE, a neuromorphic energy-efficient processing framework that combines a spike representation encoding technique and a bio-inspired processing method. This framework first utilizes sparse spike trains to represent visual information, and then a bio-inspired spiking neural network (SNN) is adopted to process the spike trains. The SNN model makes use of an IF neuron with multiple spike-firing rates to decrease the energy consumption without compensating for prediction performance. The experimental results indicate that when predicting the response of the primary visual cortex, the framework achieves a state-of-the-art Pearson correlation coefficient performance. Spike-based recording and processing methods simplify the storage and transmission of redundant scene information and complex calculation processes. It could reduce power consumption by 15 times compared with the existing Convolutional neural network (CNN) processing framework. The proposed NeuroSEE framework predicts the response of the primary visual cortex in an energy efficient manner, making it a powerful tool for visual prostheses.",NO_AFFILIATIONS,"Chuanqing Wang, Jie Yang, Mohamad Sawan, ",IEEE journal of biomedical and health informatics,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35503849
51,Prediction of Citrullination Sites on the Basis of mRMR Method and SNN,"Background:
        
      
      Citrullination, an important post-translational modification of proteins, alters the molecular weight and electrostatic charge of the protein side chains. Citrulline, in protein sequences, is catalyzed by a class of Peptidyl Arginine Deiminases (PADs). Dependent on Ca2+, PADs include five isozymes: PAD 1, 2, 3, 4/5, and 6. Citrullinated proteins have been identified in many biological and pathological processes. Among them, abnormal protein citrullination modification can lead to serious human diseases, including multiple sclerosis and rheumatoid arthritis. Objective:
        
      
      It is important to identify the citrullination sites in protein sequences. The accurate identification of citrullination sites may contribute to the studies on the molecular functions and pathological mechanisms of related diseases. Methods and results:
        
      
      In this study, after an encoded training set (containing 116 positive and 348 negative samples) into the feature matrix, the mRMR method was used to analyze the 941- dimensional features which were sorted on the basis of their importance. Then, a predictive model based on a self-normalizing neural network (SNN) was proposed to predict the citrullination sites in protein sequences. Incremental Feature Selection (IFS) and 10-fold cross-validation were used as the model evaluation method. Three classical machine learning models, namely random forest, support vector machine, and k-nearest neighbor algorithm, were selected and compared with the SNN prediction model using the same evaluation methods. SNN may be the best tool for citrullination site prediction. The maximum value of the Matthews Correlation Coefficient (MCC) reached 0.672404 on the basis of the optimal classifier of SNN. Conclusion:
        
      
      The results showed that the SNN-based prediction methods performed better when evaluated by some common metrics, such as MCC, accuracy, and F1-Measure. SNN prediction model also achieved a better balance in the classification and recognition of positive and negative samples from datasets compared with the other three models.","['1 College of Information Engineering, Shanghai Maritime University, Shanghai 201306, China.']","Min Liu, Guangzhong Liu, ",Combinatorial chemistry & high throughput screening,NO_DATE,"IFS (incremental feature selection); PTM (post-translational modification); SNN (self-normalizing neural network); citrullination site; mRMR
(minimum redundancy maximum relevance); protein sequence..",https://pubmed.ncbi.nlm.nih.gov/31782357
52,Multitarget Activities of Müller Glial Cells and Low-Density Lipoprotein Receptor-Related Protein 1 in Proliferative Retinopathies,"Müller glial cells (MGCs), the main glial component of the retina, play an active role in retinal homeostasis during development and pathological processes. They strongly monitor retinal environment and, in response to retinal imbalance, activate neuroprotective mechanisms mainly characterized by the increase of glial fibrillary acidic protein (GFAP). Under these circumstances, if homeostasis is not reestablished, the retina can be severely injured and GFAP contributes to neuronal degeneration, as they occur in several proliferative retinopathies such as diabetic retinopathy, sickle cell retinopathy and retinopathy of prematurity. In addition, MGCs have an active participation in inflammatory responses releasing proinflammatory mediators and metalloproteinases to the extracellular space and vitreous cavity. MGCs are also involved in the retinal neovascularization and matrix extracellular remodeling during the proliferative stage of retinopathies. Interestingly, low-density lipoprotein receptor-related protein 1 (LRP1) and its ligand α2-macroglobulin (α2M) are highly expressed in MGCs and they have been established to participate in multiple cellular and molecular activities with relevance in retinopathies. However, the exact mechanism of regulation of retinal LRP1 in MGCs is still unclear. Thus, the active participation of MGCs and LRP1 in these diseases, strongly supports the potential interest of them for the design of novel therapeutic approaches. In this review, we discuss the role of LRP1 in the multiple MGCs activities involved in the development and progression of proliferative retinopathies, identifying opportunities in the field that beg further research in this topic area.Summary StatementMGCs and LRP1 are active players in injured retinas, participating in key features such as gliosis and neurotoxicity, neovascularization, inflammation, and glucose control homeostasis during the progression of ischemic diseases, such as proliferative retinopathies.","['1 Universidad Nacional de Córdoba, Facultad de Ciencias Químicas, Departamento de Bioquímica Clínica, Córdoba, Argentina.', '2 62873Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Centro de Investigaciones en Bioquímica Clínica e Inmunología (CIBICI), Córdoba, Argentina.', '3 602578Instituto Universitario de Ciencias Biomédicas de Córdoba (IUCBC), Centro de Investigación en Medicina Traslacional Severo R. Amuchástegui (CIMETSA), G.V. al Instituto de Investigación Médica Mercedes y Martín Ferreyra (INIMEC-CONICET-UNC), Córdoba, Argentina.']","María C Sanchez, Gustavo A Chiabrando, ",ASN neuro,NO_DATE,alpha -2 macroglobulin; diabetes; glia; hypoxia; lipoproteins; neurodegeneration; retina.,https://pubmed.ncbi.nlm.nih.gov/36317314
53,Backpropagation with biologically plausible spatiotemporal adjustment for training deep spiking neural networks,"The spiking neural network (SNN) mimics the information-processing operation in the human brain. Directly applying backpropagation to the training of the SNN still has a performance gap compared with traditional deep neural networks. To address the problem, we propose a biologically plausible spatial adjustment that rethinks the relationship between membrane potential and spikes and realizes a reasonable adjustment of gradients to different time steps. It precisely controls the backpropagation of the error along the spatial dimension. Secondly, we propose a biologically plausible temporal adjustment to make the error propagate across the spikes in the temporal dimension, which overcomes the problem of the temporal dependency within a single spike period of traditional spiking neurons. We have verified our algorithm on several datasets, and the experimental results have shown that our algorithm greatly reduces network latency and energy consumption while also improving network performance.","['1 Research Center for Brain-Inspired Intelligence, Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China.', '2 School of Future Technology, University of Chinese Academy of Sciences, Beijing 100190, China.', '3 Center for Excellence in Brain Science and Intelligence Technology, Chinese Academy of Sciences, Shanghai 200031, China.', '4 National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China.', '5 School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing 100190, China.']","Guobin Shen, Dongcheng Zhao, Yi Zeng, ","Patterns (New York, N.Y.)",2022,SNN; backpropagation; biologically plausible spatial adjustment; biologically plausible temporal adjustment; low energy consumption; low latency; spiking neural network; surrogate gradient.,https://pubmed.ncbi.nlm.nih.gov/35755868
54,3-D Res-CapsNet convolutional neural network on automated breast ultrasound tumor diagnosis,"Purpose:
        
      
      We propose a 3-D tumor computer-aided diagnosis (CADx) system with U-net and a residual-capsule neural network (Res-CapsNet) for ABUS images and provide a reference for early tumor diagnosis, especially non-mass lesions. Methods:
        
      
      A total of 396 patients with 444 tumors (226 malignant and 218 benign) were retrospectively enrolled from Sun Yat-sen University Cancer Center. In our CADx, preprocessing was performed first to crop and resize the tumor volumes of interest (VOIs). Then, a 3-D U-net and postprocessing were applied to the VOIs to obtain tumor masks. Finally, a 3-D Res-CapsNet classification model was executed with the VOIs and the corresponding masks to diagnose the tumors. Finally, the diagnostic performance, including accuracy, sensitivity, specificity, and area under the curve (AUC), was compared with other classification models and among three readers with different years of experience in ABUS review. Results:
        
      
      For all tumors, the accuracy, sensitivity, specificity, and AUC of the proposed CADx were 84.9 %, 87.2 %, 82.6 %, and 0.9122, respectively, outperforming other models and junior reader. Next, the tumors were subdivided into mass and non-mass tumors to validate the system performance. For mass tumors, our CADx achieved an accuracy, sensitivity, specificity, and AUC of 85.2 %, 88.2 %, 82.3 %, and 0.9147, respectively, which was higher than that of other models and junior reader. For non-mass tumors, our CADx achieved an accuracy, sensitivity, specificity, and AUC of 81.6 %, 78.3 %, 86.7 %, and 0.8654, respectively, outperforming the two readers. Conclusion:
        
      
      The proposed CADx with 3-D U-net and 3-D Res-CapsNet models has the potential to reduce misdiagnosis, especially for non-mass lesions.","['1 Department of Ultrasound, State Key Laboratory of Oncology in South China, Collaborative Innovation Center for Cancer Medicine, Sun Yat-sen University Cancer Center, Guangzhou, China.', '2 Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan.', '3 NVIDIA AI Technology Center, Taipei, Taiwan.', '4 Department of Ultrasound, State Key Laboratory of Oncology in South China, Collaborative Innovation Center for Cancer Medicine, Sun Yat-sen University Cancer Center, Guangzhou, China. Electronic address: linxi@sysucc.org.cn.', '5 Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan; Graduate Institute of Biomedical Electronics and Bioinformatics, National Taiwan University, Taipei, Taiwan. Electronic address: rfchang@csie.ntu.edu.tw.']","Huiling Xiang, Yao-Sian Huang, Chu-Hsuan Lee, Ting-Yin Chang Chien, Cheng-Kuang Lee, Lixian Liu, Anhua Li, Xi Lin, Ruey-Feng Chang, ",European journal of radiology,NO_DATE,Automated breast ultrasound; Breast neoplasms; Computer-assisted image interpretation; Convolutional neural networks.,https://pubmed.ncbi.nlm.nih.gov/33711572
55,Capsule Network for ERP Detection in Brain-Computer Interface,"Event-related potential (ERP) is bioelectrical activity that occurs in the brain in response to specific events or stimuli, reflecting the electrophysiological changes in the brain during cognitive processes. ERP is important in cognitive neuroscience and has been applied to brain-computer interfaces (BCIs). However, because ERP signals collected on the scalp are weak, mixed with spontaneous electroencephalogram (EEG) signals, and their temporal and spatial features are complex, accurate ERP detection is challenging. Compared to traditional neural networks, the capsule network (CapsNet) replaces scalar-output neurons with vector-output capsules, allowing the various input information to be well preserved in the capsules. In this study, we expect to utilize CapsNet to extract the discriminative spatial-temporal features of ERP and encode them in capsules to reduce the loss of valuable information, thereby improving the ERP detection performance for BCI. Therefore, we propose ERP-CapsNet to perform ERP detection in a BCI speller application. The experimental results on BCI Competition datasets and the Akimpech dataset show that ERP-CapsNet achieves better classification performances than do the state-of-the-art techniques. We also use a decoder to investigate the attributes of ERPs encoded in capsules. The results show that ERP-CapsNet relies on the P300 and P100 components to detect ERP. Therefore, ERP-CapsNet not only acts as an outstanding method for ERP detection, but also provides useful insights into the ERP detection mechanism.",NO_AFFILIATIONS,"Ronghua Ma, Tianyou Yu, Xiaoli Zhong, Zhu Liang Yu, Yuanqing Li, Zhenghui Gu, ",IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33793402
56,A Parallel Spiking Neural Network Based on Adaptive Lateral Inhibition Mechanism for Objective Recognition,"Spiking neural network (SNN) has attracted extensive attention in the field of machine learning because of its biological interpretability and low power consumption. However, the accuracy of pattern recognition cannot completely surpass deep neural networks (DNNs). The main reason is that the inherent nondifferentiability of spiking neurons makes SNN unable to be trained directly by the gradient descent algorithm, and there is also no unified training algorithm for SNN. Inspired by the biological vision system, this paper proposes a parallel convolution SNN structure combined with an adaptive lateral inhibition mechanism. And, a way of dynamically evolving the time constant with the training of SNN is proposed to ensure the diversity of neurons. This paper verifies the effectiveness of the proposed methods on static datasets and neuromorphic datasets and extends it to the recognition of breast tumors. Experimental results show that the SNN has obvious advantages in dynamical datasets. For breast tumors, it is also an edge-based task, because the edge of a medical image contains the most important information in the image. This kind of information can provide great help for the noninvasive and accurate diagnosis of diseases. The Experimental results show that the proposed method is very close to the recognition results of DNNs on static datasets, and its performance on neuromorphic datasets exceeds that of DNNs.","['1 College of Computer Science and Technology, Harbin Engineering University, Harbin 150001, China.']","Qiang Fu, Hongbin Dong, ",Computational intelligence and neuroscience,2022,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/36275955
57,An Artificial Tactile Neuron Enabling Spiking Representation of Stiffness and Disease Diagnosis,"Mechanical properties of biological systems provide useful information about the biochemical status of cells and tissues. Here, an artificial tactile neuron enabling spiking representation of stiffness and spiking neural network (SNN)-based learning for disease diagnosis is reported. An artificial spiking tactile neuron based on an ovonic threshold switch serving as an artificial soma and a piezoresistive sensor as an artificial mechanoreceptor is developed and shown to encode the elastic stiffness of pressed materials into spike frequency evolution patterns. SNN-based learning of ultrasound elastography images abstracted by spike frequency evolution rate enables the classification of malignancy status of breast tumors with a recognition accuracy up to 95.8%. The stiffness-encoding artificial tactile neuron and learning of spiking-represented stiffness patterns hold a great promise for the identification and classification of tumors for disease diagnosis and robot-assisted surgery with low power consumption, low latency, and yet high accuracy.","['1 Post-Silicon Semiconductor Institute, Korea Institute of Science and Technology, Seoul, 02792, Republic of Korea.', '2 YU-KIST, Yonsei University, Seoul, 03722, Republic of Korea.', '3 Department of Materials Science and Engineering, Yonsei University, Seoul, 03722, Republic of Korea.', '4 Center for Neuromorphic Engineering, Korea Institute of Science and Technology, Seoul, 02792, Republic of Korea.', '5 Department of Materials Science and Engineering, Korea University, Seoul, 02841, Republic of Korea.', '6 Department of Materials Science and Engineering, Seoul National University, Seoul, 08826, Republic of Korea.', '7 Department of Radiology, Seoul National University Bundang Hospital, Seoul National University College of Medicine, Seongnam, 13620, Republic of Korea.', '8 Division of Nano & Information Technology, Korea University of Science and Technology, Daejeon, 34316, Republic of Korea.']","Junseok Lee, Seonjeong Kim, Seongjin Park, Jaesang Lee, Wonseop Hwang, Seong Won Cho, Kyuho Lee, Sun Mi Kim, Tae-Yeon Seong, Cheolmin Park, Suyoun Lee, Hyunjung Yi, ","Advanced materials (Deerfield Beach, Fla.)",NO_DATE,artificial tactile neurons; disease diagnosis; elastography; neuromorphic sensors; ovonic threshold switching; piezoresistive sensors; spiking neural networks.,https://pubmed.ncbi.nlm.nih.gov/35436369
58,Memory-inspired spiking hyperdimensional network for robust online learning,"Recently, brain-inspired computing models have shown great potential to outperform today's deep learning solutions in terms of robustness and energy efficiency. Particularly, Spiking Neural Networks (SNNs) and HyperDimensional Computing (HDC) have shown promising results in enabling efficient and robust cognitive learning. Despite the success, these two brain-inspired models have different strengths. While SNN mimics the physical properties of the human brain, HDC models the brain on a more abstract and functional level. Their design philosophies demonstrate complementary patterns that motivate their combination. With the help of the classical psychological model on memory, we propose SpikeHD, the first framework that fundamentally combines Spiking neural network and hyperdimensional computing. SpikeHD generates a scalable and strong cognitive learning system that better mimics brain functionality. SpikeHD exploits spiking neural networks to extract low-level features by preserving the spatial and temporal correlation of raw event-based spike data. Then, it utilizes HDC to operate over SNN output by mapping the signal into high-dimensional space, learning the abstract information, and classifying the data. Our extensive evaluation on a set of benchmark classification problems shows that SpikeHD provides the following benefit compared to SNN architecture: (1) significantly enhance learning capability by exploiting two-stage information processing, (2) enables substantial robustness to noise and failure, and (3) reduces the network size and required parameters to learn complex information.","['1 University of California San Diego, La Jolla, CA, 92093, USA.', '2 University of California Irvine, Irvine, CA, 92697, USA.', '3 University of California Los Angeles, Los Angeles, CA, 90095, USA.', '4 University of Connecticut, Storrs, CT, 06269, USA.', '5 Daegu Gyeongbuk Institute of Science and Technology, Daegu, South Korea.', '6 University of Louisiana, Lafayette, LA, 70504, USA.', '7 University of California Irvine, Irvine, CA, 92697, USA. m.imani@uci.edu.']","Zhuowen Zou, Haleh Alimohamadi, Ali Zakeri, Farhad Imani, Yeseong Kim, M Hassan Najafi, Mohsen Imani, ",Scientific reports,2022,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35538126
59,Coculture of ARPE-19 Cells and Porcine Neural Retina as an Ex Vivo Retinal Model,"Neural retinal organ cultures are used to investigate ocular pathomechanisms. However, these cultures lack the essential retinal pigment epithelium (RPE) cells, which are part of the actual in vivo retina. To simulate a more realistic ex vivo model, porcine neural retina explants were cocultured with ARPE-19 cells (ARPE-19 group), which are derived from human RPE. To identify whether the entire cells or just the cell factors are necessary, in a second experimental group, porcine neural retina explants were cultured with medium derived from ARPE-19 cells (medium group). Individually cultured neural retina explants served as controls (control group). After 8 days, all neural retinas were analysed to evaluate retinal thickness, photoreceptors, microglia, complement factors and synapses (n = 6-8 per group). The neural retina thickness in the ARPE-19 group was significantly better preserved than in the control group (p = 0.031). Also, the number of L-cones was higher in the ARPE-19 group, as compared to the control group (p < 0.001). Furthermore, the ARPE-19 group displayed an increased presynaptic glutamate uptake (determined via vGluT1 labelling) and enhanced post-synaptic density (determined via PSD-95 labelling). Combined Iba1 and iNOS detection revealed only minor effects of ARPE-19 cells on microglial activity, with a slight downregulation of total microglia activity apparent in the medium group. Likewise, only minor beneficial effects on photoreceptors and synaptic structure were found in the medium group. This novel system offers the opportunity to investigate interactions between the neural retina and RPE cells, and suggests that the inclusion of a RPE feeder layer has beneficial effects on the ex vivo maintenance of neural retina. By modifying the culture conditions, this coculture model allows a better understanding of photoreceptor death and photoreceptor-RPE cell interactions in retinal diseases.","['1 Experimental Eye Research Institute, University Eye Hospital, 9142Ruhr-University Bochum, Germany.', '2 Centre for Ophthalmology Tübingen, 27203University Eye Hospital Tübingen, Germany.']","Natalie Wagner, Armin Safaei, Pia A Vogt, Maurice R Gammel, H Burkhard Dick, Sven Schnichels, Stephanie C Joachim, ",Alternatives to laboratory animals : ATLA,NO_DATE,adult retinal pigment epithelial cell line-19; coculture; neural retina; photoreceptors; porcine retina; retinal pigment epithelium.,https://pubmed.ncbi.nlm.nih.gov/35302924
60,Toward the Optimal Design and FPGA Implementation of Spiking Neural Networks,"The performance of a biologically plausible spiking neural network (SNN) largely depends on the model parameters and neural dynamics. This article proposes a parameter optimization scheme for improving the performance of a biologically plausible SNN and a parallel on-field-programmable gate array (FPGA) online learning neuromorphic platform for the digital implementation based on two numerical methods, namely, the Euler and third-order Runge-Kutta (RK3) methods. The optimization scheme explores the impact of biological time constants on information transmission in the SNN and improves the convergence rate of the SNN on digit recognition with a suitable choice of the time constants. The parallel digital implementation leads to a significant speedup over software simulation on a general-purpose CPU. The parallel implementation with the Euler method enables around 180× ( 20× ) training (inference) speedup over a Pytorch-based SNN simulation on CPU. Moreover, compared with previous work, our parallel implementation shows more than 300× ( 240× ) improvement on speed and 180× ( 250× ) reduction in energy consumption for training (inference). In addition, due to the high-order accuracy, the RK3 method is demonstrated to gain 2× training speedup over the Euler method, which makes it suitable for online training in real-time applications.",NO_AFFILIATIONS,"Wenzhe Guo, Hasan Erdem Yantir, Mohammed E Fouda, Ahmed M Eltawil, Khaled Nabil Salama, ",IEEE transactions on neural networks and learning systems,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33571097
61,Nonvolatile Memory Materials for Neuromorphic Intelligent Machines,"Recent progress in deep learning extends the capability of artificial intelligence to various practical tasks, making the deep neural network (DNN) an extremely versatile hypothesis. While such DNN is virtually built on contemporary data centers of the von Neumann architecture, physical (in part) DNN of non-von Neumann architecture, also known as neuromorphic computing, can remarkably improve learning and inference efficiency. Particularly, resistance-based nonvolatile random access memory (NVRAM) highlights its handy and efficient application to the multiply-accumulate (MAC) operation in an analog manner. Here, an overview is given of the available types of resistance-based NVRAMs and their technological maturity from the material- and device-points of view. Examples within the strategy are subsequently addressed in comparison with their benchmarks (virtual DNN in deep learning). A spiking neural network (SNN) is another type of neural network that is more biologically plausible than the DNN. The successful incorporation of resistance-based NVRAM in SNN-based neuromorphic computing offers an efficient solution to the MAC operation and spike timing-based learning in nature. This strategy is exemplified from a material perspective. Intelligent machines are categorized according to their architecture and learning type. Also, the functionality and usefulness of NVRAM-based neuromorphic computing are addressed.","['1 Center for Electronic Materials, Korea Institute of Science and Technology, 5 Hwarang-ro 14-gil, Seongbuk-gu, Seoul, 02792, Republic of Korea.', '2 Division of Materials Science and Engineering, Hanyang University, 222, Wangsimni-ro, Seongdong-gu, Seoul, 04763, South Korea.', '3 Department of Materials Science and Engineering, and Inter-University Semiconductor Research Center, College of Engineering, Seoul National University, Seoul, 151-744, Republic of Korea.']","Doo Seok Jeong, Cheol Seong Hwang, ","Advanced materials (Deerfield Beach, Fla.)",NO_DATE,artificial intelligence; intelligent machine; neuromorphic computing; nonvolatile random access memory.,https://pubmed.ncbi.nlm.nih.gov/29667255
62,Editorial: Insights in neuromorphic engineering: 2021,NO_ABSTRACT,"['1 The MARCS Institute, International Centre for Neuromorphic Systems, Western Sydney University, Penrith, NSW, Australia.', '2 Instituto de Microelectrónica de Sevilla (IMSE-CNM), CSIC and Universidad de Sevilla, Sevilla, Spain.']","André van Schaik, Bernabé Linares-Barranco, ",Frontiers in neuroscience,2023,SNN; benchmarks; insights 2021; neuromorphic; sensing.,https://pubmed.ncbi.nlm.nih.gov/36992850
63,Inflammatory and cell death mechanisms induced by 7-ketocholesterol in the retina. Implications for age-related macular degeneration,"This review will focus on the inflammatory and toxic mechanism of action of 7-ketocholesterol (7KCh) and the potential implications of its accumulation, especially in the retina. 7KCh is a pro-inflammatory oxysterol usually associated with oxidized lipoprotein deposits present in aged retinas. High amounts of 7KCh can be generated in situ in these lipoprotein deposits possibly through a free radical-mediated mechanism catalyzed by iron. 7KCh seems to activate several kinase signaling pathways that work via multiple transcription factors to induce cytokines and intracellular effectors causing cell death. There seems to be a controversy in the literature in relation to the mechanisms of death induced by 7KCh. Some of the discrepancies arise from the way the oxysterol is delivered because different signaling pathways are activated in different experimental setups. The elucidation of the inflammatory and toxic mechanisms is crucial for the discovery and design of new therapies. Importantly, there is little evidence of 7KCh detoxifying mechanisms in the retina, although some potential enzymes have been described. Thus, continuous formation throughout life and potential toxicity of 7KCh points it out as an ""age-related"" risk factor in pathologies such as age-related macular degeneration.","['1 Biomarkers and Molecular Signaling Group, Neurodegeneration Area, Center for Biomedical Research of La Rioja (CIBIR), Piqueras 98, 26006, Logroño, Spain.', '2 Biomarkers and Molecular Signaling Group, Neurodegeneration Area, Center for Biomedical Research of La Rioja (CIBIR), Piqueras 98, 26006, Logroño, Spain. Electronic address: ilarrayoz@riojasalud.es.']","Ana Pariente, Rafael Peláez, Álvaro Pérez-Sala, Ignacio M Larráyoz, ",Experimental eye research,NO_DATE,7-Ketocholesterol; Age-related macular degeneration; Antioxidants; Cell death; Inflammation; ROS; Retina; Signaling; Sterculid acid.,https://pubmed.ncbi.nlm.nih.gov/31394101
64,Nucleophilic Reactivities of Bleach Reagents,"The nucleophilicities of the oxidants hydroperoxide, hypochlorite, hypobromite, bromite, and peroxymonosulfate were determined by following the kinetics of their reactions with a series of benzhydrylium ions of known electrophilicity ( E) in alkaline, aqueous solutions at 20 °C. The reactivities of the oxidants correlate only weakly with their basicities. Analyzing the rate constants by using the relationship log k2 = sN( N + E) gave the parameters N (and sN), which were applied to predict the rates of Weitz-Scheffer epoxidations.","['1 Department Chemie , Ludwig-Maximilians-Universität München , Butenandtstraße 5-13 , 81377 München , Germany.']","Robert J Mayer, Armin R Ofial, ",Organic letters,2018,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/29741385
65,Retinal organotypic culture - A candidate for research on retinas,"Reliable disease models are essential for investigations on mechanisms and therapies. The Retinal organotypic culture can maintain the architecture and cellular connections within the tissue in vitro. The system is a refined retinal experiment platform. It narrows the gap between cell line studies and in vivo models and is flexible enough for sophisticated experimental procedures. It greatly reduces the consumption of time or resources. Retinas of many species in various development stages have been used for diverse explorations based on their morphologies and physical characteristics. But the culture time course and the viability of the cultured tissue restrict the utility of the system. Recently, researchers have made increasing attempts to improve the culture conditions and applications of this systems for retina experiments in vitro. Accordingly, there is a great need for a comprehensive summary of these systems for researchers seeking proper in vitro models. In this review, we clarify several key points for the culture procedure and summarize its utility in retinal research.","['1 Department of Ophthalmology, Second Hospital of Jilin University, Jilin, China.', '2 Department of Ophthalmology, Second Hospital of Jilin University, Jilin, China. Electronic address: sugf2012@163.com.']","Ying Li, Yan Zhang, Shounan Qi, Guanfang Su, ",Tissue & cell,NO_DATE,Disease models; Explants; In vitro; Organ culture; Retina; Retinal pigment epithelium.,https://pubmed.ncbi.nlm.nih.gov/29622082
66,Characterization of Retinal Development in 13-Lined Ground Squirrels,"Purpose:
        
      
      The cone-dominant, 13-lined ground squirrel (13-LGS) retina mimics the human central retina, but a thorough examination of retinal development in this species has not been reported. Here, the embryonic and postnatal development of the 13-LGS retina was studied to further characterize 13-LGS as a practical alternative animal model for investigating cone-based vision in health and disease. Methods:
        
      
      The spatiotemporal expression of key progenitor and cell type markers was examined in retinas from defined embryonic and postnatal stages using immunohistochemistry. Postnatal gene expression changes were validated by quantitative PCR. Results:
        
      
      The 13-LGS neuroblastic layer expressed key progenitor markers (Sox2, Vsx2, Pax6, and Lhx2) at E18. Sequential cell fate determination evidenced by the first appearance of cell-type-specific marker labeling was at embryonic stage 18 (E18) with ganglion cells (Brn-3A, HuC/D) and microglia (Iba1); at E22.5 with photoreceptor progenitors (Otx2, recoverin) followed shortly by horizontal and amacrine cells (Lhx1, Oc1) at E24 to E25.5; and at postnatal stage 15 (P15) with bipolar cells (Vsx1, CaBP5) and Müller glia cells (GS, Rlbp1). Photoreceptor maturation indicated by opsin-positive outer segments and peanut agglutinin (PNA) labeling of cone sheaths was completed at the time of eye opening (P21-P24). Conclusions:
        
      
      The timeline and order of retinal cell development in the 13-LGS generally matches that recorded from other mammalian models but with a stark variation in the proportion of various cell types due to cone-dense photoreceptors. Translational relevance:
        
      
      This thorough examination of an emerging translationally relevant cone-dominant specie provides a baseline for future disease modeling and stem cell approach studies of human vision.","['1 Department of Ophthalmology, UCSF Medical Center, University of California San Francisco, San Francisco, CA, USA.', '2 Eli and Edythe Broad Center of Regeneration Medicine and Stem Cell Research, University of California San Francisco, San Francisco, CA, USA.', '3 Department of Biology, University of Wisconsin Oshkosh, Oshkosh, WI, USA.']","Sangeetha Kandoi, Cassandra Martinez, Dana K Merriman, Deepak A Lamba, ",Translational vision science & technology,2022,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/36409292
